GROUP_ID,SEATS_TOTAL,SEATS_PERCENT_EU
GP0601,22,3.88
GP0602,30,5.29
GP0603,2,0.35
GP0604,9,1.59
GP0605,0,0.0
GP0606,0,0.0
GP0607,0,0.0
GP0608,1,0.18
GP0609,0,0.0
NA,0,0.0
