GROUP_ID,SEATS_TOTAL,SEATS_PERCENT_EU
GP0601,198,34.92
GP0602,156,27.51
GP0603,44,7.76
GP0604,28,4.94
GP0605,27,4.76
GP0606,26,4.59
GP0607,23,4.06
GP0608,19,3.35
GP0609,19,3.35
NA,27,4.76
