GROUP_ID,SEATS_TOTAL,SEATS_PERCENT_EU
EPP,188,26.11
SD,136,18.89
ECR,78,10.83
Renew,77,10.69
Theleft,46,6.39
GREENSEFA,53,7.36
PfE,84,11.67
ESN,25,3.47
NI,33,4.58
