PARTY_ID,TYPE,VOTES_PERCENT
LU01,PARTY,18.29
LU02,PARTY,22.92
LU03,PARTY,11.76
LU04,PARTY,21.72
LU05,PARTY,11.77
LU06,PARTY,4.92
LU07,PARTY,3.15
LU08,PARTY,0.97
LU09,PARTY,1.04
LU10,PARTY,1.58
LU11,PARTY,0.58
LU90,PARTY,1.3
