PARTY_ID,TYPE,VOTES_PERCENT
BG01,COALITION,23.55
BG02,PARTY,7.01
BG03,PARTY,14.66
BG04,COALITION,14.45
BG05,PARTY,13.98
BG06,PARTY,6.04
BG90,PARTY,20.31
