PARTY_ID,TYPE,SEATS_TOTAL,GROUP_ID
ES01,PARTY,22,GP0601
ES02,PARTY,28,GP0602
ES04,PARTY,1,GP0602
ES05,PARTY,2,GP0603
ES07,PARTY,5,GP0604
ES08,PARTY,4,GP0604
ES10,PARTY,1,GP0602
ES11,PARTY,1,GP0608
