PARTY_ID,TYPE,SEATS_TOTAL,GROUP_ID
LU01,PARTY,1,Renew
LU02,PARTY,2,EPP
LU03,PARTY,1,GREENSEFA
LU04,PARTY,1,SD
LU05,PARTY,1,ECR
